time	V(rect_+)	V(rect_-)
0.000000000000000e+000	0.000000e+000	0.000000e+000
1.755562372196256e-006	-1.974549e-014	1.974538e-014
3.511124744392512e-006	-1.670282e-014	1.670273e-014
5.266687116588768e-006	9.128014e-015	-9.127972e-015
7.022249488785024e-006	5.774700e-014	-5.774671e-014
8.777811860981279e-006	1.291542e-013	-1.291535e-013
1.053337423317754e-005	2.233495e-013	-2.233483e-013
1.228893660537379e-005	3.403329e-013	-3.403312e-013
2.457690836697311e-005	3.687470e-012	-3.687453e-012
2.995589904099359e-005	1.083831e-011	-1.083827e-011
3.358942449876797e-005	2.572936e-011	-2.572927e-011
3.583708011344352e-005	4.659756e-011	-4.659741e-011
3.897642270511994e-005	1.203761e-010	-1.203757e-010
4.219049565193596e-005	3.412337e-010	-3.412328e-010
4.381689729972964e-005	5.794563e-010	-5.794547e-010
4.547113841557747e-005	9.939531e-010	-9.939505e-010
4.710638174879707e-005	1.696114e-009	-1.696110e-009
4.875633854695847e-005	2.909350e-009	-2.909342e-009
5.039425457212590e-005	4.972825e-009	-4.972812e-009
5.204105874384469e-005	8.525201e-009	-8.525179e-009
5.368078189592932e-005	1.458302e-008	-1.458299e-008
5.532620851062420e-005	2.498949e-008	-2.498942e-008
5.696785708699414e-005	4.276380e-008	-4.276369e-008
5.861377200556959e-005	7.325688e-008	-7.325669e-008
6.025873767995578e-005	1.253859e-007	-1.253855e-007
6.190854959259125e-005	2.147357e-007	-2.147351e-007
6.356156216727684e-005	3.675436e-007	-3.675426e-007
6.522386589134336e-005	6.292826e-007	-6.292810e-007
6.689855045592377e-005	1.077031e-006	-1.077028e-006
6.859584231160845e-005	1.844044e-006	-1.844039e-006
7.032725188995026e-005	3.158433e-006	-3.158425e-006
7.211276071832490e-005	5.417878e-006	-5.417863e-006
7.397742574449496e-005	9.316444e-006	-9.316416e-006
7.595612939043371e-005	1.608743e-005	-1.608738e-005
7.809126285596008e-005	2.793539e-005	-2.793530e-005
8.043628922598733e-005	4.885738e-005	-4.885722e-005
8.305512169352978e-005	8.614504e-005	-8.614472e-005
