# time	V(n009)
1.755562372196256e-006	1.079878e-014
3.511124744392512e-006	9.135758e-015
5.266687116588768e-006	-4.989066e-015
7.022249488785024e-006	-3.157569e-014
8.777811860981279e-006	-7.062412e-014
1.053337423317754e-005	-1.221343e-013
1.228893660537379e-005	-1.861064e-013
2.457690836697311e-005	-2.015119e-012
2.995590737517882e-005	-5.919924e-012
3.358943668141190e-005	-1.404904e-011
3.583709369483251e-005	-2.543921e-011
3.897643678361673e-005	-6.570516e-011
4.219050973444097e-005	-1.862424e-010
4.381691136421633e-005	-3.162572e-010
4.547115245106827e-005	-5.424774e-010
4.710639577335619e-005	-9.256964e-010
4.875635255637264e-005	-1.587845e-009
5.039426857813097e-005	-2.714030e-009
5.204107274374551e-005	-4.652816e-009
5.368079589723244e-005	-7.959007e-009
5.532622251248329e-005	-1.363857e-008
5.696787109607203e-005	-2.333935e-008
5.861378602654395e-005	-3.998179e-008
6.025875172595361e-005	-6.843288e-008
6.190856368041058e-005	-1.171992e-007
6.356157632838801e-005	-2.006024e-007
6.522388017508693e-005	-3.434665e-007
6.689856494465290e-005	-5.878748e-007
6.859585713582774e-005	-1.006596e-006
7.032726725206761e-005	-1.724232e-006
7.211277692083499e-005	-2.958067e-006
7.397744322484097e-005	-5.087454e-006
7.595614876791063e-005	-8.786679e-006
7.809128499931371e-005	-1.526141e-005
8.043631535934289e-005	-2.669823e-005
8.305515356052757e-005	-4.708703e-005
8.602637061693937e-005	-8.378368e-005
8.944499173416824e-005	-1.504250e-004
9.342850663273857e-005	-2.724814e-004
9.811919795105374e-005	-4.976753e-004
1.037024633490055e-004	-9.166109e-004
1.104038335552001e-004	-1.700964e-003
1.185132134243095e-004	-3.179167e-003
1.284006270321831e-004	-5.982201e-003
1.405529701672391e-004	-1.133324e-002
1.556205756773002e-004	-2.162434e-002
1.745130868253659e-004	-4.160665e-002
1.985763754552057e-004	-8.093939e-002
2.300191379779353e-004	-1.601469e-001
2.731506731572384e-004	-3.271073e-001
3.403827918447586e-004	-6.997565e-001
4.169927590446642e-004	-1.239623e+000
4.937986592843947e-004	-1.832127e+000
5.822762759619608e-004	-2.455094e+000
6.733189666950779e-004	-2.930618e+000
7.709752166950779e-004	-3.241579e+000
8.686314666950779e-004	-3.441220e+000
9.662877166950779e-004	-3.672201e+000
1.063943966695078e-003	-4.046210e+000
1.161600216695078e-003	-4.577895e+000
1.259256466695078e-003	-5.184565e+000
1.356912716695078e-003	-5.742158e+000
1.454568966695078e-003	-6.161269e+000
1.552225216695078e-003	-6.437090e+000
1.649881466695078e-003	-6.644807e+000
1.747537716695079e-003	-6.887540e+000
1.845193966695079e-003	-7.232791e+000
1.942850216695079e-003	-7.676036e+000
2.040506466695079e-003	-8.149474e+000
2.138162716695079e-003	-8.566816e+000
2.235818966695079e-003	-8.875475e+000
2.333475216695079e-003	-9.084665e+000
2.431131466695079e-003	-9.254108e+000
2.528787716695079e-003	-9.453449e+000
2.626443966695079e-003	-9.681852e+000
2.707582411019927e-003	-9.819077e+000
2.793865617053086e-003	-9.877031e+000
2.879799623555303e-003	-9.895579e+000
2.968146037208282e-003	-9.905633e+000
3.065802287208282e-003	-9.911839e+000
3.163458537208282e-003	-9.915779e+000
3.261114787208282e-003	-9.919546e+000
3.358771037208282e-003	-9.924313e+000
3.456427287208283e-003	-9.929882e+000
3.554083537208283e-003	-9.935285e+000
3.651739787208283e-003	-9.939478e+000
3.749396037208283e-003	-9.941955e+000
3.847052287208283e-003	-9.942955e+000
3.944708537208283e-003	-9.943217e+000
4.042364787208283e-003	-9.943462e+000
4.140021037208282e-003	-9.943989e+000
4.237677287208282e-003	-9.944622e+000
4.335333537208282e-003	-9.944978e+000
4.432989787208281e-003	-9.944861e+000
4.530646037208281e-003	-9.944427e+000
4.628302287208281e-003	-9.943905e+000
4.725958537208280e-003	-9.943379e+000
4.823614787208280e-003	-9.942854e+000
5.116583537208279e-003	-9.941270e+000
5.409552287208278e-003	-9.939678e+000
5.702521037208277e-003	-9.938077e+000
5.995489787208276e-003	-9.936466e+000
6.288458537208275e-003	-9.934844e+000
6.581427287208274e-003	-9.933209e+000
6.874396037208273e-003	-9.931561e+000
7.167364787208272e-003	-9.929899e+000
7.460333537208271e-003	-9.928222e+000
7.753302287208269e-003	-9.926525e+000
8.046271037208268e-003	-9.924810e+000
8.339239787208267e-003	-9.923076e+000
8.632208537208266e-003	-9.921317e+000
8.925177287208265e-003	-9.919535e+000
9.218146037208264e-003	-9.917725e+000
9.511114787208263e-003	-9.915885e+000
9.804083537208262e-003	-9.914012e+000
1.009705228720826e-002	-9.912104e+000
1.039002103720826e-002	-9.910156e+000
1.068298978720826e-002	-9.908165e+000
1.097595853720826e-002	-9.906126e+000
1.107361478720826e-002	-9.905434e+000
1.117127103720826e-002	-9.904737e+000
1.126892728720826e-002	-9.904247e+000
1.136658353720826e-002	-9.904893e+000
1.146423978720826e-002	-9.908163e+000
1.156189603720826e-002	-9.914706e+000
1.165955228720826e-002	-9.923288e+000
1.175720853720826e-002	-9.931530e+000
1.185486478720826e-002	-9.937443e+000
1.195252103720826e-002	-9.940371e+000
1.205017728720825e-002	-9.941086e+000
1.214783353720825e-002	-9.941068e+000
1.224548978720825e-002	-9.941471e+000
1.234314603720825e-002	-9.942648e+000
1.244080228720825e-002	-9.944258e+000
1.253845853720825e-002	-9.945601e+000
1.263611478720825e-002	-9.946156e+000
1.273377103720825e-002	-9.945990e+000
1.283142728720825e-002	-9.945517e+000
1.292908353720825e-002	-9.944994e+000
1.302673978720825e-002	-9.944470e+000
1.312439603720825e-002	-9.943946e+000
1.322205228720825e-002	-9.943420e+000
1.351502103720825e-002	-9.941839e+000
1.380798978720825e-002	-9.940251e+000
1.410095853720825e-002	-9.938654e+000
1.439392728720825e-002	-9.937046e+000
1.458923978720825e-002	-9.935968e+000
