time	V(n009)
0.000000000000000e+000	0.000000e+000
1.755562372196256e-006	1.967901e-014
3.511124744392512e-006	1.665035e-014
5.266687116588768e-006	-9.085972e-015
7.022249488785024e-006	-5.752996e-014
8.777811860981279e-006	-1.286816e-013
1.053337423317754e-005	-2.225410e-013
1.228893660537379e-005	-3.391079e-013
2.457690836697311e-005	-3.669696e-012
2.995581298776290e-005	-1.077587e-011
3.358929874354202e-005	-2.556605e-011
3.583694007113742e-005	-4.628650e-011
3.897627944714653e-005	-1.195312e-010
4.219035560994410e-005	-3.387915e-010
4.381675813669644e-005	-5.752923e-010
4.547100069263473e-005	-9.867939e-010
4.710624440271806e-005	-1.683881e-009
4.875620192345591e-005	-2.888351e-009
5.039411804383244e-005	-4.936918e-009
5.204092255468633e-005	-8.463632e-009
5.368064567675937e-005	-1.447771e-008
5.532607241702868e-005	-2.480905e-008
5.696772087614697e-005	-4.245517e-008
5.861363573611816e-005	-7.272860e-008
6.025860112709137e-005	-1.244829e-007
6.190841265790026e-005	-2.131931e-007
6.356142448188222e-005	-3.649138e-007
6.522372700934770e-005	-6.248097e-007
6.689840952297731e-005	-1.069455e-006
6.859569805920364e-005	-1.831283e-006
7.032710227750253e-005	-3.137100e-006
7.211260274535592e-005	-5.382520e-006
7.397725501317801e-005	-9.258407e-006
7.595593968653829e-005	-1.599308e-005
7.809104539498674e-005	-2.778336e-005
8.043603159771486e-005	-4.861434e-005
8.305480612073800e-005	-8.575901e-005
8.602593117747651e-005	-1.526285e-004
8.944441859046950e-005	-2.740647e-004
9.342297404445784e-005	-4.962344e-004
9.811324547498387e-005	-9.066117e-004
1.036920628097319e-004	-1.669590e-003
1.103933134503930e-004	-3.099327e-003
1.184977127236607e-004	-5.792569e-003
1.283829602190470e-004	-1.090213e-002
1.405278351807605e-004	-2.065350e-002
1.555891267329775e-004	-3.941244e-002
1.744681234772697e-004	-7.582893e-002
1.985147716937521e-004	-1.475169e-001
2.299253534778501e-004	-2.918420e-001
2.729994420329645e-004	-5.959790e-001
