# time	V(rect_+)	V(rect_-)
0.000000000000000e+000	0.000000e+000	0.000000e+000
2.195659019826181e-007	2.433054e-005	-2.433054e-005
4.391318039652363e-007	9.376318e-005	-9.376318e-005
6.586977059478544e-007	2.082979e-004	-2.082979e-004
8.782636079304725e-007	3.679348e-004	-3.679348e-004
1.097829509913091e-006	5.726737e-004	-5.726737e-004
1.317395411895709e-006	8.225147e-004	-8.225147e-004
1.536961313878326e-006	1.117458e-003	-1.117458e-003
3.072957783982187e-006	4.239082e-003	-4.239082e-003
6.144950724189909e-006	1.486259e-002	-1.486259e-002
1.228893660460535e-005	4.641308e-002	-4.641308e-002
2.457690836543624e-005	1.275132e-001	-1.275132e-001
4.915285188709802e-005	3.130336e-001	-3.130336e-001
9.830473893042157e-005	7.078709e-001	-7.078709e-001
1.959609889304216e-004	1.511928e+000	-1.511928e+000
2.936172389304216e-004	2.322930e+000	-2.322930e+000
3.912734889304216e-004	3.135669e+000	-3.135669e+000
4.889297389304216e-004	3.946047e+000	-3.946047e+000
5.865859889304215e-004	4.751627e+000	-4.751627e+000
6.842422389304215e-004	5.551181e+000	-5.551181e+000
7.818984889304215e-004	6.343547e+000	-6.343547e+000
8.795547389304215e-004	7.127511e+000	-7.127511e+000
9.772109889304216e-004	7.901907e+000	-7.901907e+000
1.074867238930422e-003	8.665618e+000	-8.665618e+000
1.172523488930422e-003	9.417557e+000	-9.417557e+000
1.270179738930422e-003	1.015666e+001	-1.015666e+001
1.367835988930422e-003	1.088191e+001	-1.088191e+001
1.465492238930422e-003	1.159228e+001	-1.159228e+001
1.563148488930422e-003	1.228680e+001	-1.228680e+001
1.660804738930422e-003	1.296451e+001	-1.296451e+001
1.758460988930422e-003	1.362447e+001	-1.362447e+001
1.953773488930422e-003	1.488757e+001	-1.488757e+001
2.149085988930423e-003	1.606918e+001	-1.606918e+001
2.344398488930423e-003	1.716283e+001	-1.716283e+001
2.637367238930423e-003	1.862548e+001	-1.862548e+001
2.930335988930423e-003	1.985900e+001	-1.985900e+001
3.223304738930424e-003	2.084827e+001	-2.084827e+001
3.516273488930424e-003	2.158119e+001	-2.158119e+001
3.809242238930424e-003	2.204880e+001	-2.204880e+001
4.102210988930423e-003	2.224537e+001	-2.224537e+001
4.395179738930422e-003	2.216849e+001	-2.216849e+001
4.688148488930421e-003	2.181912e+001	-2.181912e+001
4.981117238930420e-003	2.120152e+001	-2.120152e+001
5.274085988930419e-003	2.032324e+001	-2.032324e+001
5.567054738930418e-003	1.919504e+001	-1.919504e+001
5.860023488930417e-003	1.783073e+001	-1.783073e+001
6.152992238930416e-003	1.624702e+001	-1.624702e+001
6.445960988930415e-003	1.446335e+001	-1.446335e+001
6.738929738930414e-003	1.250165e+001	-1.250165e+001
7.031898488930413e-003	1.038614e+001	-1.038614e+001
7.324867238930412e-003	8.143138e+000	-8.143138e+000
7.617835988930411e-003	5.801051e+000	-5.801051e+000
7.910804738930410e-003	3.391288e+000	-3.391288e+000
8.106117238930410e-003	1.767114e+000	-1.767114e+000
8.203773488930409e-003	9.626698e-001	-9.626698e-001
8.301429738930409e-003	1.774512e-001	-1.774512e-001
8.313636770180408e-003	1.020044e-001	-1.020044e-001
8.338050832680409e-003	2.870042e-002	-2.870042e-002
8.344154348305408e-003	4.167692e-002	-4.167692e-002
8.356361379555408e-003	1.208469e-001	-1.208469e-001
8.380775442055408e-003	3.042029e-001	-3.042029e-001
8.429603567055409e-003	6.959204e-001	-6.959204e-001
8.624916067055408e-003	2.310629e+000	-2.310629e+000
8.917884817055407e-003	4.739646e+000	-4.739646e+000
9.210853567055406e-003	7.116023e+000	-7.116023e+000
9.503822317055405e-003	9.406775e+000	-9.406775e+000
9.796791067055404e-003	1.158240e+001	-1.158240e+001
1.008975981705540e-002	1.361567e+001	-1.361567e+001
1.038272856705540e-002	1.548142e+001	-1.548142e+001
1.067569731705540e-002	1.715667e+001	-1.715667e+001
1.096866606705540e-002	1.862085e+001	-1.862085e+001
1.126163481705540e-002	1.985602e+001	-1.985602e+001
1.155460356705540e-002	2.084703e+001	-2.084703e+001
1.184757231705540e-002	2.158177e+001	-2.158177e+001
1.214054106705540e-002	2.205124e+001	-2.205124e+001
1.243350981705539e-002	2.224971e+001	-2.224971e+001
1.272647856705539e-002	2.217473e+001	-2.217473e+001
1.301944731705539e-002	2.182724e+001	-2.182724e+001
1.331241606705539e-002	2.121148e+001	-2.121148e+001
1.360538481705539e-002	2.033498e+001	-2.033498e+001
1.389835356705539e-002	1.920847e+001	-1.920847e+001
1.419132231705539e-002	1.784574e+001	-1.784574e+001
1.438663481705539e-002	1.681415e+001	-1.681415e+001
1.458194731705539e-002	1.569057e+001	-1.569057e+001
1.477725981705539e-002	1.448114e+001	-1.448114e+001
1.497257231705539e-002	1.319246e+001	-1.319246e+001
1.507022856705539e-002	1.252059e+001	-1.252059e+001
1.516788481705539e-002	1.183160e+001	-1.183160e+001
1.526554106705538e-002	1.112643e+001	-1.112643e+001
1.536319731705538e-002	1.040606e+001	-1.040606e+001
1.546085356705538e-002	9.671485e+000	-9.671485e+000
1.555850981705538e-002	8.923729e+000	-8.923729e+000
1.565616606705539e-002	8.163843e+000	-8.163843e+000
1.575382231705539e-002	7.392903e+000	-7.392903e+000
1.585147856705539e-002	6.612019e+000	-6.612019e+000
1.594913481705539e-002	5.822334e+000	-5.822334e+000
1.604679106705539e-002	5.025047e+000	-5.025047e+000
1.614444731705539e-002	4.221432e+000	-4.221432e+000
1.624210356705539e-002	3.412904e+000	-3.412904e+000
1.633975981705539e-002	2.601167e+000	-2.601167e+000
1.643741606705540e-002	1.788712e+000	-1.788712e+000
1.653507231705540e-002	9.836598e-001	-9.836598e-001
1.663272856705540e-002	1.922729e-001	-1.922729e-001
1.663404775471643e-002	1.820691e-001	-1.820691e-001
1.663668613003849e-002	1.626263e-001	-1.626263e-001
1.664196288068261e-002	1.252720e-001	-1.252720e-001
1.665251638197085e-002	7.111531e-002	-7.111531e-002
1.667362338454733e-002	2.481922e-002	-2.481922e-002
1.667662822897997e-002	3.150563e-002	-3.150563e-002
1.668263791784525e-002	6.738028e-002	-6.738028e-002
1.669465729557581e-002	1.509107e-001	-1.509107e-001
1.671869605103693e-002	3.348540e-001	-3.348540e-001
1.676677356195917e-002	7.220082e-001	-7.220082e-001
1.686292858380365e-002	1.514275e+000	-1.514275e+000
1.696058483380365e-002	2.325570e+000	-2.325570e+000
1.705824108380365e-002	3.138277e+000	-3.138277e+000
1.715589733380365e-002	3.948561e+000	-3.948561e+000
1.725355358380365e-002	4.754101e+000	-4.754101e+000
1.735120983380365e-002	5.553635e+000	-5.553635e+000
1.744886608380366e-002	6.345978e+000	-6.345978e+000
1.754652233380366e-002	7.129914e+000	-7.129914e+000
1.764417858380366e-002	7.904280e+000	-7.904280e+000
1.774183483380366e-002	8.667955e+000	-8.667955e+000
1.783949108380366e-002	9.419856e+000	-9.419856e+000
1.793714733380366e-002	1.015892e+001	-1.015892e+001
1.803480358380366e-002	1.088412e+001	-1.088412e+001
1.813245983380367e-002	1.159445e+001	-1.159445e+001
1.823011608380367e-002	1.228892e+001	-1.228892e+001
1.832777233380367e-002	1.296657e+001	-1.296657e+001
1.842542858380367e-002	1.362648e+001	-1.362648e+001
1.862074108380367e-002	1.488946e+001	-1.488946e+001
1.881605358380368e-002	1.607093e+001	-1.607093e+001
1.901136608380368e-002	1.716444e+001	-1.716444e+001
1.930433483380368e-002	1.862687e+001	-1.862687e+001
1.959730358380369e-002	1.986014e+001	-1.986014e+001
1.989027233380369e-002	2.084916e+001	-2.084916e+001
2.018324108380369e-002	2.158181e+001	-2.158181e+001
2.047620983380370e-002	2.204914e+001	-2.204914e+001
2.076917858380370e-002	2.224543e+001	-2.224543e+001
2.106214733380371e-002	2.216827e+001	-2.216827e+001
2.135511608380371e-002	2.181862e+001	-2.181862e+001
2.164808483380372e-002	2.120075e+001	-2.120075e+001
2.194105358380372e-002	2.032221e+001	-2.032221e+001
2.223402233380372e-002	1.919376e+001	-1.919376e+001
2.252699108380373e-002	1.782921e+001	-1.782921e+001
2.281995983380373e-002	1.624529e+001	-1.624529e+001
